$GPRMC,134100.00,A,3946.91844,N,03249.29079,E,2.728,348.23,011213,,,D*6C
$GPRMC,134101.00,A,3946.91913,N,03249.29055,E,2.467,346.80,011213,,,D*6F
$GPRMC,134102.00,A,3946.91984,N,03249.29038,E,2.642,348.89,011213,,,D*6B
$GPRMC,134103.00,A,3946.92058,N,03249.29022,E,2.588,350.95,011213,,,D*6B
$GPRMC,134104.00,A,3946.92134,N,03249.29006,E,2.779,350.25,011213,,,D*66
$GPRMC,134105.00,A,3946.92219,N,03249.28974,E,3.201,345.47,011213,,,D*6D
$GPRMC,134106.00,A,3946.92299,N,03249.28946,E,2.783,346.28,011213,,,D*63
$GPRMC,134107.00,A,3946.92374,N,03249.28924,E,2.696,347.03,011213,,,D*69
$GPRMC,134108.00,A,3946.92445,N,03249.28898,E,2.529,344.34,011213,,,D*65
$GPRMC,134109.00,A,3946.92514,N,03249.28871,E,2.526,343.31,011213,,,D*6B
$GPRMC,134110.00,A,3946.92582,N,03249.28844,E,2.494,342.69,011213,,,D*6E
$GPRMC,134111.00,A,3946.92648,N,03249.28818,E,2.533,342.15,011213,,,D*64
$GPRMC,134112.00,A,3946.92717,N,03249.28791,E,2.532,342.79,011213,,,D*69
$GPRMC,134113.00,A,3946.92784,N,03249.28766,E,2.448,342.46,011213,,,D*6A
$GPRMC,134114.00,A,3946.92851,N,03249.28749,E,2.295,344.64,011213,,,D*67
$GPRMC,134115.00,A,3946.92917,N,03249.28725,E,2.486,343.94,011213,,,D*63
$GPRMC,134116.00,A,3946.92987,N,03249.28703,E,2.571,345.52,011213,,,D*68
$GPRMC,134117.00,A,3946.93058,N,03249.28688,E,2.540,347.60,011213,,,D*60
$GPRMC,134118.00,A,3946.93129,N,03249.28668,E,2.519,347.07,011213,,,D*6B
$GPRMC,134119.00,A,3946.93195,N,03249.28656,E,2.215,350.73,011213,,,D*6E
$GPRMC,134120.00,A,3946.93243,N,03249.28670,E,1.562,358.59,011213,,,D*6C
$GPRMC,134121.00,A,3946.93246,N,03249.28703,E,1.128,36.68,011213,,,D*5E
$GPRMC,134122.00,A,3946.93213,N,03249.28744,E,1.914,90.16,011213,,,D*5C
$GPRMC,134123.00,A,3946.93156,N,03249.28766,E,2.357,154.08,011213,,,D*67
$GPRMC,134124.00,A,3946.93090,N,03249.28784,E,2.561,162.22,011213,,,D*69
$GPRMC,134125.00,A,3946.93022,N,03249.28804,E,2.689,164.93,011213,,,D*6F
$GPRMC,134126.00,A,3946.92951,N,03249.28826,E,2.621,166.30,011213,,,D*69
$GPRMC,134127.00,A,3946.92873,N,03249.28838,E,2.731,170.97,011213,,,D*6C
$GPRMC,134128.00,A,3946.92796,N,03249.28849,E,2.791,171.20,011213,,,D*66
$GPRMC,134129.00,A,3946.92720,N,03249.28866,E,2.714,170.40,011213,,,D*6D
$GPRMC,134130.00,A,3946.92648,N,03249.28881,E,2.483,170.45,011213,,,D*6B
$GPRMC,134131.00,A,3946.92580,N,03249.28898,E,2.616,169.31,011213,,,D*60
$GPRMC,134132.00,A,3946.92511,N,03249.28922,E,2.680,167.14,011213,,,D*6D
$GPRMC,134133.00,A,3946.92442,N,03249.28945,E,2.563,166.44,011213,,,D*60
$GPRMC,134134.00,A,3946.92371,N,03249.28966,E,2.585,167.17,011213,,,D*6E
$GPRMC,134135.00,A,3946.92297,N,03249.28989,E,2.718,166.79,011213,,,D*68
$GPRMC,134136.00,A,3946.92222,N,03249.29007,E,2.689,168.37,011213,,,D*66
$GPRMC,134137.00,A,3946.92146,N,03249.29031,E,2.831,167.02,011213,,,D*67
$GPRMC,134138.00,A,3946.92066,N,03249.29065,E,3.253,163.44,011213,,,D*63
$GPRMC,134139.00,A,3946.91985,N,03249.29089,E,2.736,166.19,011213,,,D*6D
$GPRMC,134140.00,A,3946.91900,N,03249.29095,E,2.909,172.64,011213,,,A*6B
$GPRMC,134141.00,A,3946.91822,N,03249.29105,E,2.731,171.88,011213,,,A*67
